=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.28 19:00:25 =~=~=~=~=~=~=~=~=~=~=~=
--------------------------
Enter the file number you want to read (e.g., 1 for drop_data_1.csv):
Reading from file: --------------------------
drop_data_5.csv
Timestamp (ms),Total Accel (m/s^2),Peak Acceleration from drop (m/s^2),Impact Duration(ms),Surface Type
212220,0.82
212222,0.93
212224,0.84
212227,1.05
212229,0.27
212232,1.82
212234,0.18
212237,0.90
212239,0.81
212242,4.44
212244,223.02
212247,157.57
212249,181.20
212252,146.00
212254,161.60
212257,120.82
212259,164.56
212262,173.08
212264,96.80
212267,116.80
212269,160.36
212272,209.31
212274,166.41
212277,118.36
212279,53.90
212282,159.85
212284,160.31
212286,147.50
212289,170.73
212291,54.03
212294,184.39
212296,168.09
212299,168.45
212301,160.36
212304,174.68
212306,134.64
212309,161.98
212311,119.97
212314,162.26
212316,173.48
212319,73.69
212321,136.17
212324,35.38
212326,166.98
212329,37.09
212331,90.62
212334,157.28
212336,161.15
212339,161.36
212341,163.41
212344,27.83
212346,157.38
212348,160.27
212351,157.08
212353,159.45
212356,161.24
212358,97.90
212361,47.41
212363,52.80
212366,104.55
212368,159.48
212371,104.86
212373,128.24
212376,91.31
212378,41.65
212381,80.14
212383,128.43
212386,161.91
212388,142.74
212391,168.25
212393,148.82
212396,142.75
212398,161.14
212401,106.19
212403,25.63
212406,159.75
212408,75.23
212411,33.72
212413,83.29
212415,34.15
212418,23.32
212420,168.24
212423,146.63
212425,83.19
212428,156.97
212430,37.87
212433,79.80
212435,84.41
212438,158.77
212440,69.80
212443,110.33
212445,158.49
212448,164.28
212450,143.63
212453,22.23
212455,19.83
212458,143.86
212460,158.17
212463,52.93
212465,66.21
212468,160.52
212470,78.69
212473,54.24
212475,27.29
212477,155.36
212480,167.92
212482,158.46
212485,112.45
212487,157.78
212490,125.95
212492,142.69
212495,157.14
212497,47.88
212500,159.92
212502,157.72
212505,70.36
212507,157.63
212510,21.75
212512,96.83
212515,129.52
212517,98.77
212520,104.03
212522,120.69
212525,48.61
212527,51.23
212530,49.29
212532,26.96
212535,59.19
212537,108.33
212539,14.90
212542,67.13
212544,93.54
212547,6.26,223.02,303,hard
Read Complete
--------------------------

Board Detected

Please choose an action:
1 - Drop the Sensor and Log Data
2 - Read stored data
Enter choice:
